"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"1600000US0628210","Garden Farms CDP, California","345","194"
"1600000US0637134","Janesville CDP, California","1278","265"
"1600000US0612930","Chester CDP, California","2116","328"
"1600000US0670644","Seacliff CDP, California","3201","343"
"1600000US0628112","Galt city, California","25675","43"
"1600000US0660928","Rio del Mar CDP, California","9775","597"
"1600000US0628021","Furnace Creek CDP, California","127","48"
"1600000US0639766","Lakeside CDP, California","22560","1098"
"1600000US0686878","Yosemite Lakes CDP, California","5647","466"
"1600000US0624134","Firebaugh city, California","8295","20"
"1600000US0683794","Weaverville CDP, California","3240","441"
"1600000US0649446","Moss Beach CDP, California","3799","701"
"1600000US0643000","Long Beach city, California","468883","77"
"1600000US0650258","Napa city, California","79516","52"
"1600000US0604772","Beckwourth CDP, California","214","132"
"1600000US0675168","Storrie CDP, California","0","12"
"1600000US0652610","Nubieber CDP, California","20","14"
"1600000US0670322","Saticoy CDP, California","1201","357"
"1600000US0683460","Warm Springs CDP, California","1903","541"
"1600000US0630987","Greenfield CDP, California","3534","711"
"1600000US0648256","Mission Viejo city, California","96124","65"
"1600000US0613985","Clearlake Riviera CDP, California","3933","686"
"1600000US0644672","Mabie CDP, California","74","68"
"1600000US0616420","Coronita CDP, California","3138","616"
"1600000US0620032","Ducor CDP, California","651","175"
"1600000US0633056","Healdsburg city, California","11802","37"
"1600000US0601094","Almanor CDP, California","0","12"
"1600000US0631099","Green Valley CDP (Solano County), California","1572","297"
"1600000US0685086","Whitehawk CDP, California","66","48"
"1600000US0655296","Palo Cedro CDP, California","1151","314"
"1600000US0639735","Lake Sherwood CDP, California","1835","282"
"1600000US0672478","Soda Bay CDP, California","941","311"
"1600000US0612328","Cedarville CDP, California","360","122"
"1600000US0636490","Industry city, California","344","137"
"1600000US0617946","Dana Point city, California","33913","58"
"1600000US0674186","Stirling City CDP, California","307","236"
"1600000US0610088","Cambrian Park CDP, California","3094","398"
"1600000US0658758","Princeton CDP, California","297","104"
"1600000US0678120","Temecula city, California","112230","68"
"1600000US0646660","Mecca CDP, California","7174","1075"
"1600000US0673710","Springville CDP, California","872","347"
"1600000US0662490","Rodeo CDP, California","10411","488"
"1600000US0670588","Scotts Valley city, California","11900","46"
"1600000US0678232","Terminous CDP, California","411","117"
"1600000US0638548","Kings Beach CDP, California","2833","524"
"1600000US0623630","Farmington CDP, California","89","80"
"1600000US0636735","Iron Horse CDP, California","60","85"
"1600000US0622286","El Nido CDP, California","328","109"
"1600000US0668252","San Mateo city, California","104035","53"
"1600000US0618324","Deer Park CDP, California","906","191"
"1600000US0639290","La Habra city, California","61910","60"
"1600000US0624960","Forestville CDP, California","3685","332"
"1600000US0647164","Mettler CDP, California","138","70"
"1600000US0646618","Meadow Valley CDP, California","362","127"
"1600000US0624218","Fish Camp CDP, California","90","20"
"1600000US0683668","Watsonville city, California","53616","80"
"1600000US0658226","Port Costa CDP, California","186","125"
"1600000US0606475","Big Bend CDP, California","96","46"
"1600000US0661096","Riverdale CDP, California","3625","729"
"1600000US0668140","San Lucas CDP, California","472","201"
"1600000US0623294","Fair Oaks CDP, California","31002","976"
"1600000US0633364","Hermosa Beach city, California","19650","36"
"1600000US0640526","Las Flores CDP (Orange County), California","5877","703"
"1600000US0677700","Tahoe Vista CDP, California","1288","311"
"1600000US0628182","Garden Acres CDP, California","10701","834"
"1600000US0681554","Vacaville city, California","97943","49"
"1600000US0606728","Biola CDP, California","1451","298"
"1600000US0616035","Concow CDP, California","743","171"
"1600000US0604982","Bellflower city, California","77529","60"
"1600000US0618674","Del Rey CDP, California","1498","341"
"1600000US0614190","Cloverdale city, California","8798","26"
"1600000US0643280","Los Altos city, California","30588","29"
"1600000US0651574","Nord CDP, California","426","233"
"1600000US0641908","Little Valley CDP, California","18","18"
"1600000US0600996","Allendale CDP, California","1362","308"
"1600000US0662546","Rohnert Park city, California","42694","38"
"1600000US0612132","Cayucos CDP, California","2692","361"
"1600000US0623973","Fetters Hot Springs-Agua Caliente CDP, California","4697","759"
"1600000US0632562","Hayfork CDP, California","2421","424"
"1600000US0678162","Templeton CDP, California","7938","813"
"1600000US0608310","Brisbane city, California","4692","21"
"1600000US0618086","Davenport CDP, California","264","107"
"1600000US0683374","Walnut Grove CDP, California","1300","395"
"1600000US0641474","Lincoln city, California","46939","44"
"1600000US0637400","Johannesburg CDP, California","138","122"
"1600000US0630560","Graeagle CDP, California","596","171"
"1600000US0646842","Menifee city, California","88515","61"
"1600000US0622230","El Monte city, California","115669","86"
"1600000US0668014","San Juan Bautista city, California","2106","431"
"1600000US0607946","Bradbury city, California","916","122"
"1600000US0631260","Gridley city, California","6585","25"
"1600000US0606935","Blacklake CDP, California","892","282"
"1600000US0687042","Yucaipa city, California","53264","36"
"1600000US0645736","Maricopa city, California","1175","193"
"1600000US0638310","Kernville CDP, California","1007","385"
"1600000US0609324","Butte Valley CDP, California","510","186"
"1600000US0683262","Walker CDP, California","863","271"
"1600000US0660900","Rio Dell city, California","3382","25"
"1600000US0678470","Thermalito CDP, California","6704","541"
"1600000US0614288","Coarsegold CDP, California","1643","521"
"1600000US0621034","East Rancho Dominguez CDP, California","16734","943"
"1600000US0667042","San Gabriel city, California","40242","44"
"1600000US0671848","Sierraville CDP, California","103","59"
"1600000US0683948","Weldon CDP, California","2181","529"
"1600000US0660018","Redondo Beach city, California","67700","41"
"1600000US0606635","Big River CDP, California","1145","139"
"1600000US0683346","Walnut Creek city, California","69007","67"
"1600000US0640886","Lawndale city, California","33007","90"
"1600000US0682815","Vincent CDP, California","17008","1196"
"1600000US0603026","Aspen Springs CDP, California","67","80"
"1600000US0610559","Camp Pendleton North CDP, California","7903","1317"
"1600000US0612818","Cherokee CDP, California","139","94"
"1600000US0621782","El Centro city, California","43898","45"
"1600000US0659514","Rancho Palos Verdes city, California","42271","79"
"1600000US0680560","Trowbridge CDP, California","296","131"
"1600000US0610270","Camino CDP, California","1799","324"
"1600000US0663218","Rowland Heights CDP, California","50602","1097"
"1600000US0620438","Earlimart CDP, California","8790","697"
"1600000US0646814","Mendocino CDP, California","782","279"
"1600000US0640130","Lancaster city, California","159662","82"
"1600000US0613560","Citrus CDP, California","10771","873"
"1600000US0655058","Pala CDP, California","1143","221"
"1600000US0648147","Mission Canyon CDP, California","2755","366"
"1600000US0642202","Lodi city, California","65006","42"
"1600000US0640536","Las Flores CDP (Tehama County), California","294","222"
"1600000US0650146","Myers Flat CDP, California","0","12"
"1600000US0610044","Camanche Village CDP, California","620","215"
"1600000US0612552","Cerritos city, California","50172","46"
"1600000US0614148","Clipper Mills CDP, California","319","240"
"1600000US0624750","Forbestown CDP, California","221","109"
"1600000US0637596","Junction City CDP, California","688","132"
"1600000US0637624","June Lake CDP, California","508","295"
"1600000US0616742","Covina city, California","48403","101"
"1600000US0649768","Mount Hebron CDP, California","78","77"
"1600000US0639283","Lagunitas-Forest Knolls CDP, California","1504","319"
"1600000US0604030","Barstow city, California","23812","35"
"1600000US0633798","Hillsborough town, California","11439","23"
"1600000US0668112","San Lorenzo CDP, California","25388","852"
"1600000US0672380","Smith River CDP, California","632","291"
"1600000US0657582","Planada CDP, California","4418","488"
"1600000US0620984","East Pasadena CDP, California","5971","454"
"1600000US0648916","Monterey Park Tract CDP, California","291","280"
"1600000US0652760","Oak Hills CDP, California","9700","1602"
"1600000US0616762","Cowan CDP, California","570","412"
"1600000US0672688","Soquel CDP, California","10862","731"
"1600000US0649852","Mount Shasta city, California","3284","14"
"1600000US0608142","Brentwood city, California","60446","116"
"1600000US0643126","Lookout CDP, California","76","50"
"1600000US0646338","Maxwell CDP, California","1096","209"
"1600000US0619612","Dos Palos city, California","5272","37"
"1600000US0667070","San Geronimo CDP, California","466","283"
"1600000US0610676","Camptonville CDP, California","162","69"
"1600000US0649628","Mountain Ranch CDP, California","1306","351"
"1600000US0642104","Lockeford CDP, California","3390","369"
"1600000US0658618","Prattville CDP, California","28","27"
"1600000US0618590","Del Monte Forest CDP, California","4197","366"
"1600000US0634428","Honcut CDP, California","135","107"
"1600000US0639556","Lake Hughes CDP, California","587","221"
"1600000US0671680","Shoshone CDP, California","13","13"
"1600000US0629252","Gazelle CDP, California","46","23"
"1600000US0634246","Holtville city, California","6458","18"
"1600000US0638024","Kelly Ridge CDP, California","2679","326"
"1600000US0607414","Bonita CDP, California","13324","1365"
"1600000US0642510","Lompico CDP, California","887","233"
"1600000US0672086","Sisquoc CDP, California","148","61"
"1600000US0671225","Shasta Lake city, California","10142","30"
"1600000US0639220","Laguna Hills city, California","31185","54"
"1600000US0670686","Seal Beach city, California","24364","46"
"1600000US0638520","King City city, California","13834","25"
"1600000US0603092","Atherton town, California","7185","24"
"1600000US0621565","Edna CDP, California","186","105"
"1600000US0645806","Marina del Rey CDP, California","9771","957"
"1600000US0622020","Elk Grove city, California","168503","81"
"1600000US0640004","La Mesa city, California","59562","37"
"1600000US0616210","Copperopolis CDP, California","4299","453"
"1600000US0609864","Calimesa city, California","8651","38"
"1600000US0619220","Diamond Springs CDP, California","11989","892"
"1600000US0658506","Potter Valley CDP, California","437","140"
"1600000US0637904","Keddie CDP, California","41","49"
"1600000US0673388","South Taft CDP, California","1526","329"
"1600000US0665000","San Bernardino city, California","215182","89"
"1600000US0612048","Cathedral City city, California","54037","51"
"1600000US0678148","Temple City city, California","36137","54"
"1600000US0668238","San Martin CDP, California","7010","643"
"1600000US0671568","Shingletown CDP, California","2272","353"
"1600000US0607578","Boronda CDP, California","1066","521"
"1600000US0608172","Bret Harte CDP, California","5319","608"
"1600000US0649558","Mountain Gate CDP, California","794","241"
"1600000US0666070","San Dimas city, California","34239","47"
"1600000US0640326","La Presa CDP, California","37437","1334"
"1600000US0611796","Castaic CDP, California","18921","632"
"1600000US0685586","Williams city, California","5223","19"
"1600000US0649432","Moskowite Corner CDP, California","151","94"
